"","Date_reported","Country_code","Country","WHO_region","New_cases","Cumulative_cases","New_deaths","Cumulative_deaths","Code","facial_coverings"
"1",2020-01-03,"AU","Australia","WPRO",0,0,0,0,"AUS","0"
"2",2020-01-04,"AU","Australia","WPRO",0,0,0,0,"AUS","0"
"3",2020-01-05,"AU","Australia","WPRO",0,0,0,0,"AUS","0"
"4",2020-01-06,"AU","Australia","WPRO",0,0,0,0,"AUS","0"
"5",2020-01-07,"AU","Australia","WPRO",0,0,0,0,"AUS","0"
"6",2020-01-08,"AU","Australia","WPRO",0,0,0,0,"AUS","0"
"7",2020-01-09,"AU","Australia","WPRO",0,0,0,0,"AUS","0"
"8",2020-01-10,"AU","Australia","WPRO",0,0,0,0,"AUS","0"
"9",2020-01-11,"AU","Australia","WPRO",0,0,0,0,"AUS","0"
"10",2020-01-12,"AU","Australia","WPRO",0,0,0,0,"AUS","0"
"11",2020-01-13,"AU","Australia","WPRO",0,0,0,0,"AUS","0"
"12",2020-01-14,"AU","Australia","WPRO",0,0,0,0,"AUS","0"
"13",2020-01-15,"AU","Australia","WPRO",0,0,0,0,"AUS","0"
"14",2020-01-16,"AU","Australia","WPRO",0,0,0,0,"AUS","0"
"15",2020-01-17,"AU","Australia","WPRO",0,0,0,0,"AUS","0"
"16",2020-01-18,"AU","Australia","WPRO",0,0,0,0,"AUS","0"
"17",2020-01-19,"AU","Australia","WPRO",0,0,0,0,"AUS","0"
"18",2020-01-20,"AU","Australia","WPRO",0,0,0,0,"AUS","0"
"19",2020-01-21,"AU","Australia","WPRO",0,0,0,0,"AUS","0"
"20",2020-01-22,"AU","Australia","WPRO",0,0,0,0,"AUS","0"
"21",2020-01-23,"AU","Australia","WPRO",0,0,0,0,"AUS","0"
"22",2020-01-24,"AU","Australia","WPRO",0,0,0,0,"AUS","0"
"23",2020-01-25,"AU","Australia","WPRO",7,7,0,0,"AUS","0"
"24",2020-01-26,"AU","Australia","WPRO",1,8,0,0,"AUS","0"
"25",2020-01-27,"AU","Australia","WPRO",1,9,0,0,"AUS","0"
"26",2020-01-28,"AU","Australia","WPRO",0,9,0,0,"AUS","0"
"27",2020-01-29,"AU","Australia","WPRO",2,11,0,0,"AUS","0"
"28",2020-01-30,"AU","Australia","WPRO",2,13,0,0,"AUS","0"
"29",2020-01-31,"AU","Australia","WPRO",0,13,0,0,"AUS","0"
"30",2020-02-01,"AU","Australia","WPRO",3,16,0,0,"AUS","0"
"31",2020-02-02,"AU","Australia","WPRO",0,16,0,0,"AUS","0"
"32",2020-02-03,"AU","Australia","WPRO",0,16,0,0,"AUS","0"
"33",2020-02-04,"AU","Australia","WPRO",1,17,0,0,"AUS","0"
"34",2020-02-05,"AU","Australia","WPRO",1,18,0,0,"AUS","0"
"35",2020-02-06,"AU","Australia","WPRO",1,19,0,0,"AUS","0"
"36",2020-02-07,"AU","Australia","WPRO",0,19,0,0,"AUS","0"
"37",2020-02-08,"AU","Australia","WPRO",0,19,0,0,"AUS","0"
"38",2020-02-09,"AU","Australia","WPRO",0,19,0,0,"AUS","0"
"39",2020-02-10,"AU","Australia","WPRO",0,19,0,0,"AUS","0"
"40",2020-02-11,"AU","Australia","WPRO",0,19,0,0,"AUS","0"
"41",2020-02-12,"AU","Australia","WPRO",0,19,0,0,"AUS","0"
"42",2020-02-13,"AU","Australia","WPRO",0,19,0,0,"AUS","0"
"43",2020-02-14,"AU","Australia","WPRO",0,19,0,0,"AUS","0"
"44",2020-02-15,"AU","Australia","WPRO",0,19,0,0,"AUS","0"
"45",2020-02-16,"AU","Australia","WPRO",0,19,0,0,"AUS","0"
"46",2020-02-17,"AU","Australia","WPRO",0,19,0,0,"AUS","0"
"47",2020-02-18,"AU","Australia","WPRO",0,19,0,0,"AUS","0"
"48",2020-02-19,"AU","Australia","WPRO",0,19,0,0,"AUS","0"
"49",2020-02-20,"AU","Australia","WPRO",0,19,0,0,"AUS","0"
"50",2020-02-21,"AU","Australia","WPRO",2,21,0,0,"AUS","0"
"51",2020-02-22,"AU","Australia","WPRO",4,25,0,0,"AUS","0"
"52",2020-02-23,"AU","Australia","WPRO",1,26,0,0,"AUS","0"
"53",2020-02-24,"AU","Australia","WPRO",0,26,0,0,"AUS","0"
"54",2020-02-25,"AU","Australia","WPRO",1,27,0,0,"AUS","0"
"55",2020-02-26,"AU","Australia","WPRO",0,27,0,0,"AUS","0"
"56",2020-02-27,"AU","Australia","WPRO",0,27,0,0,"AUS","0"
"57",2020-02-28,"AU","Australia","WPRO",0,27,0,0,"AUS","0"
"58",2020-02-29,"AU","Australia","WPRO",2,29,0,0,"AUS","0"
"59",2020-03-01,"AU","Australia","WPRO",2,31,1,1,"AUS","0"
"60",2020-03-02,"AU","Australia","WPRO",6,37,0,1,"AUS","0"
"61",2020-03-03,"AU","Australia","WPRO",0,37,0,1,"AUS","0"
"62",2020-03-04,"AU","Australia","WPRO",0,37,0,1,"AUS","0"
"63",2020-03-05,"AU","Australia","WPRO",10,47,0,1,"AUS","0"
"64",2020-03-06,"AU","Australia","WPRO",19,66,1,2,"AUS","0"
"65",2020-03-07,"AU","Australia","WPRO",8,74,0,2,"AUS","0"
"66",2020-03-08,"AU","Australia","WPRO",7,81,1,3,"AUS","0"
"67",2020-03-09,"AU","Australia","WPRO",15,96,0,3,"AUS","0"
"68",2020-03-10,"AU","Australia","WPRO",0,96,0,3,"AUS","0"
"69",2020-03-11,"AU","Australia","WPRO",30,126,0,3,"AUS","0"
"70",2020-03-12,"AU","Australia","WPRO",18,144,0,3,"AUS","0"
"71",2020-03-13,"AU","Australia","WPRO",49,193,0,3,"AUS","0"
"72",2020-03-14,"AU","Australia","WPRO",8,201,0,3,"AUS","0"
"73",2020-03-15,"AU","Australia","WPRO",101,302,2,5,"AUS","0"
"74",2020-03-16,"AU","Australia","WPRO",38,340,0,5,"AUS","0"
"75",2020-03-17,"AU","Australia","WPRO",78,418,0,5,"AUS","0"
"76",2020-03-18,"AU","Australia","WPRO",96,514,1,6,"AUS","0"
"77",2020-03-19,"AU","Australia","WPRO",195,709,0,6,"AUS","0"
"78",2020-03-20,"AU","Australia","WPRO",164,873,1,7,"AUS","0"
"79",2020-03-21,"AU","Australia","WPRO",208,1081,0,7,"AUS","0"
"80",2020-03-22,"AU","Australia","WPRO",17,1098,0,7,"AUS","0"
"81",2020-03-23,"AU","Australia","WPRO",611,1709,0,7,"AUS","0"
"82",2020-03-24,"AU","Australia","WPRO",427,2136,1,8,"AUS","0"
"83",2020-03-25,"AU","Australia","WPRO",287,2423,0,8,"AUS","0"
"84",2020-03-26,"AU","Australia","WPRO",376,2799,3,11,"AUS","0"
"85",2020-03-27,"AU","Australia","WPRO",186,2985,2,13,"AUS","0"
"86",2020-03-28,"AU","Australia","WPRO",650,3635,1,14,"AUS","0"
"87",2020-03-29,"AU","Australia","WPRO",331,3966,2,16,"AUS","0"
"88",2020-03-30,"AU","Australia","WPRO",279,4245,2,18,"AUS","0"
"89",2020-03-31,"AU","Australia","WPRO",312,4557,1,19,"AUS","0"
"90",2020-04-01,"AU","Australia","WPRO",303,4860,1,20,"AUS","0"
"91",2020-04-02,"AU","Australia","WPRO",116,4976,1,21,"AUS","0"
"92",2020-04-03,"AU","Australia","WPRO",374,5350,5,26,"AUS","0"
"93",2020-04-04,"AU","Australia","WPRO",104,5454,2,28,"AUS","0"
"94",2020-04-05,"AU","Australia","WPRO",181,5635,6,34,"AUS","0"
"95",2020-04-06,"AU","Australia","WPRO",160,5795,5,39,"AUS","0"
"96",2020-04-07,"AU","Australia","WPRO",49,5844,3,42,"AUS","0"
"97",2020-04-08,"AU","Australia","WPRO",112,5956,3,45,"AUS","0"
"98",2020-04-09,"AU","Australia","WPRO",96,6052,5,50,"AUS","0"
"99",2020-04-10,"AU","Australia","WPRO",100,6152,2,52,"AUS","0"
"100",2020-04-11,"AU","Australia","WPRO",137,6289,4,56,"AUS","0"
"101",2020-04-12,"AU","Australia","WPRO",24,6313,3,59,"AUS","0"
"102",2020-04-13,"AU","Australia","WPRO",9,6322,2,61,"AUS","0"
"103",2020-04-14,"AU","Australia","WPRO",44,6366,0,61,"AUS","0"
"104",2020-04-15,"AU","Australia","WPRO",50,6416,0,61,"AUS","0"
"105",2020-04-16,"AU","Australia","WPRO",42,6458,2,63,"AUS","0"
"106",2020-04-17,"AU","Australia","WPRO",10,6468,0,63,"AUS","0"
"107",2020-04-18,"AU","Australia","WPRO",65,6533,4,67,"AUS","0"
"108",2020-04-19,"AU","Australia","WPRO",73,6606,3,70,"AUS","0"
"109",2020-04-20,"AU","Australia","WPRO",6,6612,0,70,"AUS","0"
